N S BAAZAR
Phone No: 7002445877


Stock Summary Report
Dated: 09/11/2018 - 15/04/2027
Total Stock Value: 3528266679.44
Total Stock Quantity: 40230384.78569999 PCS


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP,SALES PRICE WITH TAX
 mother s,,8906001051329,107.0,125.0,4.0 PCS,428.0,"",135.0,""
1 St Bites Rice & Dal 375 gm,,"",0.0,255.0,0.0 PCS,0.0,Baby Food and Care,255.0,""
1 TIME BAATI SQUARE PLASTIC 50 NOS,,8154635950,40.0,45.0,80.0 PCS,3200.0,"",50.0,""
1 TIME TEA CUP (100ML) SIZE,,"",17.0,20.0,-4.0 PCS,-68.0,"",30.0,""
100% VEG BREAD,,"",20.0,25.0,2.0 PCS,40.0,"",25.0,""
12 NO K PLATE,,"",16.0,20.0,100.0 PCS,1600.0,"",25.0,""
12SHADES DOMS WAX CRAYON(DIBI),,"",16.5,20.0,7.0 PCS,115.5,"",20.0,""
12SHADES WATER COLOUR SHADES,,"",27.5,35.0,7.0 PCS,192.5,"",35.0,""
13SHADES WAX CRAYONS CAMEL,,8901425048634,27.5,32.0,15.0 PCS,412.5,"",35.0,""
16 AANA 80 GM,,8906114100297,33.0,37.0,36.0 PCS,1188.0,"",38.0,""
1TIME BAATI PVC 50 NOS,,906020930124,15.0,30.0,87.0 PCS,1305.0,"",40.0,""
1TIME BAATI PVC 50 NOS,,"",21.0,29.0,29.0 PCS,609.0,"",40.0,""
1TIME BAATI ROUND 50 NOS,,"",40.0,45.0,48.0 PCS,1920.0,"",50.0,""
1TIME DISH NEW SET 20 NUMBERS,,"",25.0,30.0,95.0 PCS,2375.0,"",35.0,""
1TIME GLASS 220 ML,,901719128295,38.0,45.0,6.0 PCS,228.0,"",60.0,""
1TIME GLASS 220 ML,,909106007321,38.0,45.0,316.0 PCS,12008.0,"",60.0,""
1TIME GLASS 220 ML,,"",53.0,60.0,-7.0 PCS,-371.0,"",80.0,""
1TIME GLASS 220 ML,,906020930100,38.0,45.0,34.0 PCS,1292.0,"",60.0,""
1TIME GLASS DANA 220 ML,,"",52.0,56.0,320.0 PCS,16640.0,"",70.0,""
1TIME GLASS PRINTED 220 ML,,901499009135,41.0,50.0,52.0 PCS,2132.0,"",60.0,""
1TIME GLASS PRINTED 220 ML,,"",36.0,45.0,0.0 PCS,0.0,"",60.0,""
1TIME PAPER BAATI ROUND/SQUARE 50 PCS,,"",44.0,50.0,165.0 PCS,7260.0,"",60.0,""
1TIME PLATE FANCY DISH 18 PCS,,036000562194,38.0,45.0,128.0 PCS,4864.0,"",60.0,""
1TIME PLATE GREEN DISH 20 PCS,,"",18.5,20.0,102.0 PCS,1887.0,"",25.0,""
1TIME PLATE PREMIUM,,"",40.0,55.0,8.0 PCS,320.0,"",70.0,""
1TIME QUARTER PLATE 8NO 20 NS,,"",12.0,15.0,145.0 PCS,1740.0,"",20.0,""
1TIME QUARTER PLATE 9NO 20 NOS,,"",12.0,20.0,114.0 PCS,1368.0,"",25.0,""
